word,partOfSpeech,meaning,example,translation,synonyms,collocation,category,level
complex,adjective,複雜的,The company needs a complex solution for this issue.,公司需要一個複雜的的解決方案來處理這個問題。,-,complex policy,Business,Basic
complexity,noun,複雜性,Please review the complexity before the meeting.,請在會議前確認這項複雜性。,complexness,complexity details,Business,Basic
complimentary,adjective,免費的；稱讚的,The company needs a complimentary solution for this issue.,公司需要一個免費的的解決方案來處理這個問題。,costless; free,complimentary policy,Business,Basic
comply,verb,遵守,All vendors must comply with company policy.,所有供應商都必須遵守公司政策。,follow; abide by,comply a request,Business,Basic
comprehensive,adjective,全面的,The company needs a comprehensive solution for this issue.,公司需要一個全面的的解決方案來處理這個問題。,-,comprehensive policy,Business,Basic
compromise,noun,妥協,Please review the compromise before the meeting.,請在會議前確認這項妥協。,via media,compromise details,Business,Basic
compulsory,adjective,強制的,The company needs a compulsory solution for this issue.,公司需要一個強制的的解決方案來處理這個問題。,mandatory; required,compulsory policy,Business,Basic
concede,verb,承認；讓步,Please concede the document before Friday.,請在星期五前承認這份文件。,profess; confess,concede a request,Business,Basic
concern,noun,關於；擔憂,Please review the concern before the meeting.,請在會議前確認這項關於。,care; fear,concern details,Business,Basic
conclude,verb,結束；下結論,Please conclude the document before Friday.,請在星期五前結束這份文件。,reason; reason out,conclude a request,Business,Basic
conclusion,noun,結論,Please review the conclusion before the meeting.,請在會議前確認這項結論。,decision; determination,conclusion details,Business,Basic
concourse,noun,大廳；廣場,Please review the concourse before the meeting.,請在會議前確認這項大廳。,multitude; throng,concourse details,Business,Basic
condition,noun,條件；狀況,Please review the condition before the meeting.,請在會議前確認這項條件。,status; precondition,condition details,Business,Basic
conduct,verb,進行；執行,Please conduct the document before Friday.,請在星期五前進行這份文件。,carry on; deal,conduct a request,Business,Basic
confirm,verb,確認,Please confirm your reservation by email.,請透過電子郵件確認您的預約。,corroborate; sustain,confirm a request,Business,Basic
confirmation,noun,確認,Please review the confirmation before the meeting.,請在會議前確認這項確認。,verification; check,confirmation details,Business,Basic
connect,verb,連接,Please connect the document before Friday.,請在星期五前連接這份文件。,link; tie,connect a request,Business,Basic
connection,noun,連接；關係,Please review the connection before the meeting.,請在會議前確認這項連接。,connexion; connectedness,connection details,Business,Basic
consequence,noun,結果；後果,Please review the consequence before the meeting.,請在會議前確認這項結果。,effect; outcome,consequence details,Business,Basic
consider,verb,考慮；認為,Please consider the document before Friday.,請在星期五前考慮這份文件。,see; reckon,consider a request,Business,Basic
considerable,adjective,相當大的；可觀的,The company needs a considerable solution for this issue.,公司需要一個相當大的的解決方案來處理這個問題。,-,considerable policy,Business,Basic
consignment,noun,寄售貨物；託運貨物,Please review the consignment before the meeting.,請在會議前確認這項寄售貨物。,cargo; lading,consignment details,Business,Basic
consist,verb,由……組成,The training program consists of three short sessions.,訓練計畫包含三個短課程。,dwell; lie,consist promptly,Business,Basic
consistent,adjective,一致的；穩定的,The company needs a consistent solution for this issue.,公司需要一個一致的的解決方案來處理這個問題。,reproducible; coherent,consistent policy,Business,Basic
constantly,adverb,不斷地；經常地,The staff handled the request constantly.,員工以不斷地的方式處理這項請求。,invariably; always,respond constantly,Business,Basic
construction,noun,建設；施工,Construction of the new office will begin in July.,新辦公室的施工將於七月開始。,building; grammatical construction,construction details,Business,Basic
consult,verb,諮詢,Please consult the document before Friday.,請在星期五前諮詢這份文件。,confer with; refer,consult a request,Business,Basic
consultant,noun,顧問,The consultant recommended a more efficient workflow.,顧問建議一個更有效率的工作流程。,adviser; advisor,consultant details,Business,Basic
consume,verb,消耗；消費,Please consume the document before Friday.,請在星期五前消耗這份文件。,devour; down,consume a request,Business,Basic
consumer,noun,消費者,The survey measured consumer satisfaction.,這份問卷衡量消費者滿意度。,-,consumer details,Business,Basic
contain,verb,包含；容納,Please contain the document before Friday.,請在星期五前包含這份文件。,incorporate; comprise,contain a request,Business,Basic
container,noun,容器；貨櫃,Please review the container before the meeting.,請在會議前確認這項容器。,-,container details,Business,Basic
continue,verb,繼續,Please continue the document before Friday.,請在星期五前繼續這份文件。,go on; proceed,continue a request,Business,Basic
contribute,verb,貢獻,The new system will contribute to higher productivity.,新系統將有助於提升生產力。,lend; impart,contribute a request,Business,Basic
contribution,noun,貢獻,Please review the contribution before the meeting.,請在會議前確認這項貢獻。,part; share,contribution details,Business,Basic
control,noun,控制,Please review the control before the meeting.,請在會議前確認這項控制。,-,control details,Business,Basic
convenient,adjective,方便的,The hotel is convenient for business travelers.,這家飯店對商務旅客很方便。,commodious,convenient policy,Business,Basic
corporate,adjective,企業的,The company needs a corporate solution for this issue.,公司需要一個企業的的解決方案來處理這個問題。,bodied; corporal,corporate policy,Business,Basic
corporation,noun,公司,Please review the corporation before the meeting.,請在會議前確認這項公司。,corp; pot,corporation details,Business,Basic
cost,noun,成本；費用,The cost of raw materials increased this month.,原料成本本月上升。,monetary value; price,cost details,Business,Basic
counter,noun,櫃台,Please review the counter before the meeting.,請在會議前確認這項櫃台。,tabulator,counter details,Business,Basic
courier,noun,快遞員；快遞公司,The courier delivered the package this morning.,快遞員今天早上送達包裹。,messenger,courier details,Business,Basic
coverage,noun,保險範圍；報導範圍,Please review the coverage before the meeting.,請在會議前確認這項保險範圍。,insurance coverage; reporting,coverage details,Business,Basic
coworker,noun,同事,Please review the coworker before the meeting.,請在會議前確認這項同事。,-,coworker details,Business,Basic
credentials,noun,資格證明,Please review the credentials before the meeting.,請在會議前確認這項資格證明。,certificate; certification,credentials details,Business,Basic
credit,noun,信用；貸方,Customers can pay by cash or credit card.,顧客可以用現金或信用卡付款。,recognition; credit entry,credit details,Business,Basic
criteria,noun,標準,Applicants must meet all selection criteria.,應徵者必須符合所有甄選標準。,standard; criterion,criteria details,Business,Basic
critical,adjective,重要的；批判的,The company needs a critical solution for this issue.,公司需要一個重要的的解決方案來處理這個問題。,-,critical policy,Business,Basic
criticize,verb,批評,Please criticize the document before Friday.,請在星期五前批評這份文件。,knock; criticise,criticize a request,Business,Basic
crowd,noun,人群；群眾,Please review the crowd before the meeting.,請在會議前確認這項人群。,crew; gang,crowd details,Business,Basic
crowded,adjective,擁擠的,The company needs a crowded solution for this issue.,公司需要一個擁擠的的解決方案來處理這個問題。,-,crowded policy,Business,Basic
crucial,adjective,關鍵的,The company needs a crucial solution for this issue.,公司需要一個關鍵的的解決方案來處理這個問題。,important; all-important,crucial policy,Business,Basic
cruise,noun,郵輪旅遊,Please review the cruise before the meeting.,請在會議前確認這項郵輪旅遊。,sail,cruise details,Business,Basic
currency,noun,貨幣,Please review the currency before the meeting.,請在會議前確認這項貨幣。,currentness; up-to-dateness,currency details,Business,Basic
current,adjective,目前的,The company needs a current solution for this issue.,公司需要一個目前的的解決方案來處理這個問題。,-,current policy,Business,Basic
custom,noun,習慣；客製的,Please review the custom before the meeting.,請在會議前確認這項習慣。,usage; usance,custom details,Business,Basic
customer,noun,顧客,The customer asked for a refund after receiving the damaged item.,顧客收到損壞商品後要求退款。,client; buyer,customer service,Shopping,Basic
customs,noun,海關,Travelers must show their passports at customs.,旅客必須在海關出示護照。,customs duty; custom,customs information,Travel,Basic
cycle,noun,週期；循環,Please review the cycle before the meeting.,請在會議前確認這項週期。,rhythm; round,cycle details,Business,Basic
daily,adjective,每日的；日常的,The company needs a daily solution for this issue.,公司需要一個每日的的解決方案來處理這個問題。,day-to-day; day-by-day,daily policy,Business,Basic
damage,noun,損壞,Please report any damage to the shipping department.,如有任何損壞，請通報出貨部門。,harm; impairment,damage details,Business,Basic
deadline,noun,截止日期,We must submit the report before the deadline.,我們必須在截止日期前提交報告。,due date; time limit,meet a deadline,Business,Basic
deal,noun,交易；協議,Please review the deal before the meeting.,請在會議前確認這項交易。,trade; business deal,deal details,Business,Basic
debit,noun,借方；扣款,Please review the debit before the meeting.,請在會議前確認這項借方。,debit entry,debit details,Business,Basic
debt,noun,債務,Please review the debt before the meeting.,請在會議前確認這項債務。,-,debt details,Business,Basic
decision,noun,決定,The final decision will be announced next week.,最終決定將於下週公布。,determination; conclusion,decision details,Business,Basic
decorate,verb,裝飾,Please decorate the document before Friday.,請在星期五前裝飾這份文件。,adorn; grace,decorate a request,Business,Basic
decrease,noun,減少,Please review the decrease before the meeting.,請在會議前確認這項減少。,lessening; drop-off,decrease details,Business,Basic
dedicate,verb,致力於；奉獻,Please dedicate the document before Friday.,請在星期五前致力於這份文件。,give; consecrate,dedicate a request,Business,Basic
deduct,verb,扣除,Please deduct the document before Friday.,請在星期五前扣除這份文件。,subtract; take off,deduct a request,Business,Basic
defect,noun,缺陷,Please review the defect before the meeting.,請在會議前確認這項缺陷。,shortcoming; fault,defect details,Business,Basic
defective,adjective,有缺陷的,The company needs a defective solution for this issue.,公司需要一個有缺陷的的解決方案來處理這個問題。,faulty; bad,defective policy,Business,Basic
definite,adjective,明確的；確定的,The company needs a definite solution for this issue.,公司需要一個明確的的解決方案來處理這個問題。,-,definite policy,Business,Basic
definitely,adverb,肯定地；明確地,The staff handled the request definitely.,員工以肯定地的方式處理這項請求。,decidedly; unquestionably,respond definitely,Business,Basic
degree,noun,程度；學位,Please review the degree before the meeting.,請在會議前確認這項程度。,grade; level,degree details,Business,Basic
delay,noun,延誤；延遲,Please review the delay before the meeting.,請在會議前確認這項延誤。,hold; time lag,delay details,Business,Basic
delete,verb,刪除,Please delete the document before Friday.,請在星期五前刪除這份文件。,cancel; erase,delete a request,Business,Basic
delighted,verb,高興的；愉快的,Please delighted the document before Friday.,請在星期五前高興的這份文件。,please; delight,delighted a request,Business,Basic
deliver,verb,交付；遞送,Please deliver the document before Friday.,請在星期五前交付這份文件。,present; hand over,deliver a request,Business,Basic
delivery,noun,配送；交貨,Delivery is free for orders over fifty dollars.,訂單超過五十美元可免費配送。,bringing; manner of speaking,delivery details,Business,Basic
demand,noun,需求；要求,Demand for the product increased after the advertisement.,廣告後該產品的需求增加。,requirement,demand details,Business,Basic
demanding,verb,要求高的；費力的,Please demanding the document before Friday.,請在星期五前要求高的這份文件。,demand; necessitate,demanding a request,Business,Basic
demonstrate,verb,展示；證明,Please demonstrate the document before Friday.,請在星期五前展示這份文件。,show; demo,demonstrate a request,Business,Basic
depart,verb,出發,The flight will depart from Gate 12 at noon.,航班將在中午從12號登機門出發。,go; go away,depart promptly,Business,Basic
department,noun,部門,Please contact the customer service department.,請聯絡客服部門。,section,department details,Business,Basic
departure,noun,出發,Please review the departure before the meeting.,請在會議前確認這項出發。,going; going away,departure information,Travel,Basic
depend,verb,依靠；取決於,The final price depends on the quantity ordered.,最終價格取決於訂購數量。,count; bet,depend promptly,Business,Basic
dependence,noun,依賴；依靠,Please review the dependence before the meeting.,請在會議前確認這項依賴。,dependance; dependency,dependence details,Business,Basic
deposit,noun,訂金；存款,A deposit is required to reserve the conference room.,預訂會議室需要支付訂金。,sedimentation; alluviation,deposit details,Business,Basic
description,noun,描述,Please review the description before the meeting.,請在會議前確認這項描述。,verbal description,description details,Business,Basic
designate,verb,指定,Please designate the document before Friday.,請在星期五前指定這份文件。,denominate; delegate,designate a request,Business,Basic
destination,noun,目的地,The package reached its destination on time.,包裹準時抵達目的地。,finish; goal,destination details,Business,Basic
detail,noun,細節,Please review the detail before the meeting.,請在會議前確認這項細節。,item; point,detail details,Business,Basic
detailed,adjective,詳細的,The company needs a detailed solution for this issue.,公司需要一個詳細的的解決方案來處理這個問題。,elaborate; elaborated,detailed policy,Business,Basic
detect,verb,偵測,Please detect the document before Friday.,請在星期五前偵測這份文件。,observe; find,detect a request,Business,Basic
determine,verb,決定；判定,Please determine the document before Friday.,請在星期五前決定這份文件。,find; find out,determine a request,Business,Basic
determined,adjective,下定決心的；堅定的,The company needs a determined solution for this issue.,公司需要一個下定決心的的解決方案來處理這個問題。,-,determined policy,Business,Basic
develop,verb,發展；開發,Please develop the document before Friday.,請在星期五前發展這份文件。,evolve; germinate,develop a request,Business,Basic
developer,noun,開發者,Please review the developer before the meeting.,請在會議前確認這項開發者。,-,developer details,Business,Basic
development,noun,發展；開發,Please review the development before the meeting.,請在會議前確認這項發展。,evolution; growth,development details,Business,Basic
device,noun,裝置,Please review the device before the meeting.,請在會議前確認這項裝置。,gimmick; twist,device details,Business,Basic
diagnose,verb,診斷；判斷,Please diagnose the document before Friday.,請在星期五前診斷這份文件。,name,diagnose a request,Business,Basic
director,noun,主任；董事,Please review the director before the meeting.,請在會議前確認這項主任。,manager; managing director,director details,Business,Basic
discount,noun,折扣,Members can receive a ten percent discount on all purchases.,會員所有購買都可以享有九折優惠。,reduction; rebate,offer a discount,Shopping,Basic
discuss,verb,討論,Please discuss the document before Friday.,請在星期五前討論這份文件。,discourse; talk about,discuss a request,Business,Basic
discussion,noun,討論,Please review the discussion before the meeting.,請在會議前確認這項討論。,treatment; discourse,discussion details,Business,Basic
dispatch,noun,派遣；寄送,Please review the dispatch before the meeting.,請在會議前確認這項派遣。,despatch; communique,dispatch details,Business,Basic
display,noun,展示,Please review the display before the meeting.,請在會議前確認這項展示。,show; exhibit,display details,Business,Basic
distribute,verb,分發；配送,Please distribute the document before Friday.,請在星期五前分發這份文件。,administer; mete out,distribute a request,Business,Basic
distribution,noun,分配；配送,Please review the distribution before the meeting.,請在會議前確認這項分配。,statistical distribution; dispersion,distribution details,Business,Basic
document,noun,文件,Please sign the document and return it by Friday.,請簽署文件並在星期五前寄回。,written document; papers,document information,Office,Basic
domestic,adjective,國內的,The company needs a domestic solution for this issue.,公司需要一個國內的的解決方案來處理這個問題。,-,domestic policy,Business,Basic
donate,verb,捐贈,Please donate the document before Friday.,請在星期五前捐贈這份文件。,-,donate a request,Business,Basic
donation,noun,捐贈,Please review the donation before the meeting.,請在會議前確認這項捐贈。,contribution,donation details,Business,Basic
downtown,noun,市中心,Please review the downtown before the meeting.,請在會議前確認這項市中心。,business district,downtown details,Business,Basic
draft,noun,草稿,Please review the draft before the meeting.,請在會議前確認這項草稿。,bill of exchange; order of payment,draft details,Business,Basic
due,adjective,到期的,The company needs a due solution for this issue.,公司需要一個到期的的解決方案來處理這個問題。,-,due policy,Business,Basic
earn,verb,賺得；獲得,Please earn the document before Friday.,請在星期五前賺得這份文件。,gain; take in,earn a request,Business,Basic
economy,noun,經濟；經濟艙,Please review the economy before the meeting.,請在會議前確認這項經濟。,economic system; thriftiness,economy details,Business,Basic
efficient,adjective,有效率的,The company needs an efficient solution for this issue.,公司需要一個有效率的的解決方案來處理這個問題。,effective,efficient policy,Business,Basic
efficiency,noun,效率,Please review the efficiency before the meeting.,請在會議前確認這項效率。,-,efficiency details,Business,Basic
effort,noun,努力；成果,Please review the effort before the meeting.,請在會議前確認這項努力。,attempt; endeavor,effort details,Business,Basic
eligible,adjective,合格的,The company needs an eligible solution for this issue.,公司需要一個合格的的解決方案來處理這個問題。,-,eligible policy,Business,Basic
email,noun,電子郵件,Please review the email before the meeting.,請在會議前確認這項電子郵件。,electronic mail; e-mail,email details,Business,Basic
emergency,noun,緊急情況,Please review the emergency before the meeting.,請在會議前確認這項緊急情況。,exigency; pinch,emergency details,Business,Basic
employee,noun,員工,Every employee must complete the training course.,每位員工都必須完成訓練課程。,staff member; worker,employee training,Human Resources,Basic
employer,noun,雇主,Please review the employer before the meeting.,請在會議前確認這項雇主。,boss; company,employer information,Human Resources,Basic
employment,noun,就業；雇用,Please review the employment before the meeting.,請在會議前確認這項就業。,employ; work,employment information,Human Resources,Basic
encourage,verb,鼓勵,Please encourage the document before Friday.,請在星期五前鼓勵這份文件。,promote; advance,encourage a request,Business,Basic
engineer,noun,工程師,Please review the engineer before the meeting.,請在會議前確認這項工程師。,applied scientist; technologist,engineer details,Business,Basic
enhance,verb,提升,Please enhance the document before Friday.,請在星期五前提升這份文件。,heighten; raise,enhance a request,Business,Basic
ensure,verb,確保,Please ensure the document before Friday.,請在星期五前確保這份文件。,guarantee; insure,ensure a request,Business,Basic
enter,verb,進入,Please enter the document before Friday.,請在星期五前進入這份文件。,come in; get into,enter a request,Business,Basic
enterprise,noun,企業,Please review the enterprise before the meeting.,請在會議前確認這項企業。,endeavor; endeavour,enterprise details,Business,Basic
entertainment,noun,娛樂,Please review the entertainment before the meeting.,請在會議前確認這項娛樂。,amusement,entertainment details,Business,Basic
entrance,noun,入口,Please review the entrance before the meeting.,請在會議前確認這項入口。,entranceway; entryway,entrance details,Business,Basic
environment,noun,環境,Please review the environment before the meeting.,請在會議前確認這項環境。,environs; surroundings,environment details,Business,Basic
equipment,noun,設備,The office equipment will be replaced next month.,辦公設備將於下個月更換。,-,office equipment,Office,Basic
estimate,noun,估計,The contractor sent an estimate for the repairs.,承包商寄來了修繕估價。,estimation; approximation,estimate details,Business,Basic
evaluate,verb,評估,Please evaluate the document before Friday.,請在星期五前評估這份文件。,measure; valuate,evaluate a request,Business,Basic
evaluation,noun,評估,Please review the evaluation before the meeting.,請在會議前確認這項評估。,rating; valuation,evaluation details,Business,Basic
event,noun,活動；事件,The event attracted more than five hundred visitors.,這場活動吸引了五百多位訪客。,case,event details,Business,Basic
exchange,noun,交換；更換,Please review the exchange before the meeting.,請在會議前確認這項交換。,interchange,exchange details,Business,Basic
executive,noun,高階主管,The executive approved the expansion plan.,高階主管核准了擴張計畫。,executive director; administrator,executive details,Business,Basic
exhibit,noun,展示,Please review the exhibit before the meeting.,請在會議前確認這項展示。,display; showing,exhibit details,Business,Basic
exhibition,noun,展覽,Please review the exhibition before the meeting.,請在會議前確認這項展覽。,exposition; expo,exhibition details,Business,Basic
expand,verb,擴大,Please expand the document before Friday.,請在星期五前擴大這份文件。,spread out,expand a request,Business,Basic
expansion,noun,擴張,Please review the expansion before the meeting.,請在會議前確認這項擴張。,enlargement; elaboration,expansion details,Business,Basic
expect,verb,預期,Please expect the document before Friday.,請在星期五前預期這份文件。,anticipate; ask,expect a request,Business,Basic
expectation,noun,期待；期望,Please review the expectation before the meeting.,請在會議前確認這項期待。,outlook; prospect,expectation details,Business,Basic
expense,noun,費用；支出,Employees must submit receipts for travel expenses.,員工必須提交差旅費收據。,disbursal; disbursement,expense details,Business,Basic
experience,noun,經驗,Please review the experience before the meeting.,請在會議前確認這項經驗。,-,experience details,Business,Basic
export,noun,出口,Please review the export before the meeting.,請在會議前確認這項出口。,exportation,export details,Business,Basic
facility,noun,設施,The new facility includes a training room and a cafeteria.,新設施包含訓練室和自助餐廳。,installation; adeptness,facility details,Business,Basic
fare,noun,票價；車資,The train fare has increased slightly.,火車票價略微上漲。,menu; transportation,fare information,Travel,Basic
fashion,noun,時尚；方式,Please review the fashion before the meeting.,請在會議前確認這項時尚。,manner; mode,fashion details,Business,Basic
favorable,adjective,有利的,The company needs a favorable solution for this issue.,公司需要一個有利的的解決方案來處理這個問題。,favourable; golden,favorable policy,Business,Basic
feedback,noun,回饋,Customer feedback helps us improve our service.,顧客回饋幫助我們改善服務。,-,customer feedback,Customer Service,Basic
fee,noun,費用,Please review the fee before the meeting.,請在會議前確認這項費用。,-,fee details,Business,Basic
field,noun,領域；場地,Please review the field before the meeting.,請在會議前確認這項領域。,battlefield; battleground,field details,Business,Basic
file,noun,檔案；歸檔,Please save the file in the shared folder.,請將檔案儲存在共用資料夾中。,data file; single file,file information,Office,Basic
finance,noun,財務,The finance department prepared the quarterly report.,財務部門準備了季度報告。,-,finance details,Business,Basic
financial,adjective,財務的,The company needs a financial solution for this issue.,公司需要一個財務的的解決方案來處理這個問題。,fiscal,financial policy,Business,Basic
firm,noun,公司,Please review the firm before the meeting.,請在會議前確認這項公司。,house; business firm,firm details,Business,Basic
flexible,adjective,有彈性的,The company needs a flexible solution for this issue.,公司需要一個有彈性的的解決方案來處理這個問題。,flexile; elastic,flexible policy,Business,Basic
flight,noun,航班,The flight was delayed because of bad weather.,航班因天氣不佳而延誤。,flying; flight of stairs,book a flight,Travel,Basic
floor,noun,樓層；地板,Please review the floor before the meeting.,請在會議前確認這項樓層。,flooring; level,floor details,Business,Basic
focus,noun,焦點；專注,Please review the focus before the meeting.,請在會議前確認這項焦點。,focusing; focussing,focus details,Business,Basic
forecast,noun,預測,The sales forecast looks positive for next quarter.,下一季的銷售預測看起來樂觀。,prognosis,forecast details,Business,Basic
form,noun,表格,Please complete the form before the interview.,請在面試前填寫表格。,word form; signifier,form information,Office,Basic
former,adjective,以前的；前任的,The company needs a former solution for this issue.,公司需要一個以前的的解決方案來處理這個問題。,erstwhile; old,former policy,Business,Basic
forward,verb,轉寄；向前,Please forward the document before Friday.,請在星期五前轉寄這份文件。,send on,forward a request,Business,Basic
freight,noun,貨運,Freight costs increased due to higher fuel prices.,貨運成本因燃油價格上升而增加。,cargo; lading,freight details,Business,Basic
frequent,adjective,頻繁的,The company needs a frequent solution for this issue.,公司需要一個頻繁的的解決方案來處理這個問題。,-,frequent policy,Business,Basic
function,noun,功能,Please review the function before the meeting.,請在會議前確認這項功能。,mathematical function; single-valued function,function details,Business,Basic
fund,noun,資金；基金,Please review the fund before the meeting.,請在會議前確認這項資金。,monetary fund; store,fund details,Business,Basic
furnish,verb,提供；布置家具,Please furnish the document before Friday.,請在星期五前提供這份文件。,supply; provide,furnish a request,Business,Basic
furniture,noun,家具,New furniture was delivered to the office.,新家具已送到辦公室。,piece of furniture; article of furniture,furniture details,Business,Basic
gap,noun,差距；空缺,Please review the gap before the meeting.,請在會議前確認這項差距。,spread; opening,gap details,Business,Basic
garage,noun,車庫,Please review the garage before the meeting.,請在會議前確認這項車庫。,service department,garage details,Business,Basic
gather,verb,聚集；收集,Please gather the document before Friday.,請在星期五前聚集這份文件。,garner; collect,gather a request,Business,Basic
general,adjective,一般的；總體的,The company needs a general solution for this issue.,公司需要一個一般的的解決方案來處理這個問題。,-,general policy,Business,Basic
generate,verb,產生,Please generate the document before Friday.,請在星期五前產生這份文件。,bring forth; render,generate a request,Business,Basic
goods,noun,商品；貨物,The goods will be shipped from the warehouse tomorrow.,貨物明天將從倉庫出貨。,good; goodness,goods information,Shopping,Basic
guarantee,noun,保證,The store offers a money-back guarantee.,這家店提供退款保證。,warrant; warrantee,guarantee details,Business,Basic
guest,noun,客人,Please review the guest before the meeting.,請在會議前確認這項客人。,invitee; Edgar Guest,guest details,Business,Basic
guideline,noun,指引,Please review the guideline before the meeting.,請在會議前確認這項指引。,road map; guidepost,guideline details,Business,Basic
headquarters,noun,總部,The company’s headquarters are located in Taipei.,公司的總部位於台北。,central office; main office,headquarters details,Business,Basic
health,noun,健康,Please review the health before the meeting.,請在會議前確認這項健康。,wellness,health details,Business,Basic
hire,verb,雇用,The company plans to hire ten new engineers.,公司計畫雇用十位新工程師。,engage; employ,hire a request,Human Resources,Basic
hospital,noun,醫院,Please review the hospital before the meeting.,請在會議前確認這項醫院。,infirmary,hospital details,Business,Basic
hotel,noun,飯店,The hotel confirmed our reservation this morning.,飯店今天早上確認了我們的預訂。,-,hotel information,Travel,Basic
income,noun,收入,Please review the income before the meeting.,請在會議前確認這項收入。,-,income details,Business,Basic
increase,noun,增加,Please review the increase before the meeting.,請在會議前確認這項增加。,addition; gain,increase details,Business,Basic
indicate,verb,指出；顯示,Please indicate the document before Friday.,請在星期五前指出這份文件。,bespeak; betoken,indicate a request,Business,Basic
industry,noun,產業,Please review the industry before the meeting.,請在會議前確認這項產業。,manufacture; diligence,industry details,Business,Intermediate
inform,verb,通知,Please inform the document before Friday.,請在星期五前通知這份文件。,-,inform a request,Business,Intermediate
information,noun,資訊,Please review the information before the meeting.,請在會議前確認這項資訊。,info,information details,Business,Intermediate
inquire,verb,詢問,Please inquire about room availability at the front desk.,請向櫃台詢問房間供應情況。,ask; enquire,inquire a request,Business,Intermediate
inquiry,noun,詢問,Please review the inquiry before the meeting.,請在會議前確認這項詢問。,enquiry; research,inquiry information,Customer Service,Intermediate
inspect,verb,檢查,Please inspect the document before Friday.,請在星期五前檢查這份文件。,visit; audit,inspect a request,Business,Intermediate
inspection,noun,檢查,Please review the inspection before the meeting.,請在會議前確認這項檢查。,review,inspection details,Business,Intermediate
install,verb,安裝,Please install the document before Friday.,請在星期五前安裝這份文件。,instal; put in,install a request,Business,Intermediate
installation,noun,安裝,Please review the installation before the meeting.,請在會議前確認這項安裝。,installing; installment,installation details,Business,Intermediate
insurance,noun,保險,Please review the insurance before the meeting.,請在會議前確認這項保險。,policy; insurance policy,insurance details,Business,Intermediate
interview,noun,面試,Please review the interview before the meeting.,請在會議前確認這項面試。,consultation; audience,interview information,Human Resources,Intermediate
inventory,noun,庫存,The warehouse manager checked the inventory.,倉庫經理檢查了庫存。,stock list; stock,check inventory,Business,Intermediate
invest,verb,投資,Please invest the document before Friday.,請在星期五前投資這份文件。,put; commit,invest a request,Business,Intermediate
investment,noun,投資,Please review the investment before the meeting.,請在會議前確認這項投資。,investing; investment funds,investment details,Business,Intermediate
invitation,noun,邀請,We received an invitation to the product launch.,我們收到產品發表會的邀請。,-,invitation details,Business,Intermediate
invoice,noun,發票；帳單,Please send the invoice to the accounting department by Friday.,請在星期五前把發票寄給會計部門。,bill; statement,issue an invoice,Business,Intermediate
issue,noun,問題；發行,Please review the issue before the meeting.,請在會議前確認這項問題。,number; topic,issue details,Business,Intermediate
item,noun,商品；項目,Please review the item before the meeting.,請在會議前確認這項商品。,point; detail,item information,Shopping,Intermediate
itinerary,noun,行程表,The travel agent emailed the itinerary to the passengers.,旅行社將行程表寄給乘客。,path; route,travel itinerary,Business,Intermediate
job,noun,工作,Please review the job before the meeting.,請在會議前確認這項工作。,occupation; business,job details,Business,Intermediate
labor,noun,勞工；勞動,Please review the labor before the meeting.,請在會議前確認這項勞工。,labour; working class,labor details,Business,Intermediate
launch,noun,推出；發表,Please review the launch before the meeting.,請在會議前確認這項推出。,launching,launch details,Business,Intermediate
lawyer,noun,律師,Please review the lawyer before the meeting.,請在會議前確認這項律師。,attorney,lawyer details,Business,Intermediate
lease,noun,租約；租賃,The tenant signed a two-year lease.,租戶簽了一份兩年租約。,rental; letting,lease details,Business,Intermediate
leave,noun,休假；離開,Please review the leave before the meeting.,請在會議前確認這項休假。,leave of absence; farewell,leave details,Business,Intermediate
legal,adjective,法律的,The legal department reviewed the contract.,法務部門審查了合約。,sound; effectual,legal policy,Business,Intermediate
leisure,noun,休閒,Please review the leisure before the meeting.,請在會議前確認這項休閒。,leisure time,leisure details,Business,Intermediate
license,noun,執照,You need a license to operate this equipment.,你需要執照才能操作這項設備。,licence; permit,license details,Business,Intermediate
list,noun,清單；名單,Please review the list before the meeting.,請在會議前確認這項清單。,listing; tilt,list details,Business,Intermediate
local,adjective,當地的,The company needs a local solution for this issue.,公司需要一個當地的的解決方案來處理這個問題。,-,local policy,Business,Intermediate
locate,verb,位於；找出,Please locate the document before Friday.,請在星期五前位於這份文件。,turn up; situate,locate a request,Business,Intermediate
location,noun,地點,Please review the location before the meeting.,請在會議前確認這項地點。,placement; locating,location details,Business,Intermediate
luggage,noun,行李,Please keep your luggage with you at all times.,請隨時保管好您的行李。,baggage,carry luggage,Travel,Intermediate
mail,noun,郵件,Please review the mail before the meeting.,請在會議前確認這項郵件。,mail service; postal service,mail details,Business,Intermediate
maintain,verb,維持；保養,Please maintain the document before Friday.,請在星期五前維持這份文件。,keep; hold,maintain a request,Business,Intermediate
maintenance,noun,維修；保養,Regular maintenance prevents equipment failures.,定期保養可防止設備故障。,care; upkeep,maintenance details,Business,Intermediate
major,adjective,主要的,The company needs a major solution for this issue.,公司需要一個主要的的解決方案來處理這個問題。,-,major policy,Business,Intermediate
manage,verb,管理,Please manage the document before Friday.,請在星期五前管理這份文件。,pull off; negociate,manage a request,Business,Intermediate
management,noun,管理層；管理,Please review the management before the meeting.,請在會議前確認這項管理層。,direction,management details,Business,Intermediate
manager,noun,經理,The manager scheduled a meeting with the staff.,經理安排了與員工的會議。,director; managing director,project manager,Business,Intermediate
